Date,Open,High,Low,Close,Adj Close,Volume
1988-01-01,256.019989,261.209991,242.869995,257.470001,257.470001,0
1988-02-01,255.509995,269.480011,250.100006,269.480011,269.480011,0
1988-03-01,269.440002,273.269989,260.279999,261.149994,261.149994,0
1988-04-01,258.410004,274.109985,258.410004,264.040009,264.040009,0
1988-05-01,264.329987,266.320007,254.580002,266.320007,266.320007,0
1988-06-01,270.950012,280.459991,269.559998,278.540009,278.540009,0
1988-07-01,276.859985,281.049988,267.76001,277.48999,277.48999,0
1988-08-01,277.76001,278.679993,263.179993,268.070007,268.070007,0
1988-09-01,264.850006,280.179993,264.850006,279.48999,279.48999,0
1988-10-01,279.089996,291.869995,278.350006,287.269989,287.269989,0
1988-11-01,287.51001,287.709991,272.600006,283.179993,283.179993,0
1988-12-01,281.950012,289.809998,281.309998,288.119995,288.119995,0
1989-01-01,285.649994,309.209991,285.649994,309.209991,309.209991,0
1989-02-01,308.859985,311.929993,299.559998,301.51001,301.51001,0
1989-03-01,299.769989,313.029999,299.769989,308.540009,308.540009,0
1989-04-01,310.209991,324.559998,309.209991,324.559998,324.559998,0
1989-05-01,324.109985,338.920013,320.73999,337.690002,337.690002,0
1989-06-01,339.25,346.720001,335.779999,335.779999,335.779999,0
1989-07-01,337.190002,366.100006,337.190002,366.100006,366.100006,0
1989-08-01,363.769989,373.850006,361.470001,373.25,373.25,0
1989-09-01,375.779999,375.779999,364.829987,371.73999,371.73999,0
1989-10-01,373.589996,383.339996,355.48999,363.109985,363.109985,0
1989-11-01,364.01001,370.51001,355.190002,370.51001,370.51001,0
1989-12-01,375.519989,379.410004,367.269989,379.410004,379.410004,0
1990-01-01,386.160004,386.160004,347.380005,353.940002,353.940002,0
1990-02-01,353.679993,361.230011,349.899994,358.5,358.5,0
1990-03-01,359.459991,371.559998,359.459991,368,368,0
1990-04-01,366.720001,373.609985,356.880005,358.820007,358.820007,0
1990-05-01,360.480011,393.799988,360.480011,393.799988,393.799988,0
1990-06-01,395.940002,400.640015,384.519989,391.140015,391.140015,0
1990-07-01,392.809998,403.459991,386.700012,389.890015,389.890015,0
1990-08-01,389.220001,389.220001,337.220001,354.649994,354.649994,0
1990-09-01,355.320007,356.75,331.790009,337.390015,337.390015,0
1990-10-01,347.299988,347.600006,326.079987,335.950012,335.950012,0
1990-11-01,339.350006,357.670013,338.809998,357.670013,357.670013,0
1990-12-01,360,368.910004,360,367.630005,367.630005,0
1991-01-01,363.440002,383.640015,347.019989,383.640015,383.640015,0
1991-02-01,382.679993,413.23999,382.679993,411.079987,411.079987,0
1991-03-01,414.920013,422.230011,411.079987,421.029999,421.029999,0
1991-04-01,416.73999,438.649994,416.73999,422.029999,422.029999,0
1991-05-01,427.589996,440.23999,415.429993,440.23999,440.23999,0
1991-06-01,438.380005,438.380005,419.359985,420.070007,420.070007,0
1991-07-01,427.730011,439.649994,422.709991,439.649994,439.649994,0
1991-08-01,438.890015,451.299988,428.01001,450.059998,450.059998,0
1991-09-01,446.390015,446.390015,437.029999,442.529999,442.529999,0
1991-10-01,444.079987,449.049988,430.220001,448.480011,448.480011,0
1991-11-01,447.200012,455.25,430.410004,430.410004,430.410004,0
1991-12-01,437.670013,479.630005,433.220001,479.630005,479.630005,0
1992-01-01,479.839996,484.200012,470.700012,470.700012,470.700012,0
1992-02-01,471.679993,481.350006,470.320007,476.790009,476.790009,0
1992-03-01,476.660004,477.279999,466.700012,467.519989,467.519989,0
1992-04-01,468.160004,482.5,457.160004,481.25,481.25,0
1992-05-01,478.450012,486.350006,476.940002,483.600006,483.600006,0
1992-06-01,486.040009,486.040009,467.589996,476.410004,476.410004,0
1992-07-01,481.950012,495.869995,477.869995,495.869995,495.869995,0
1992-08-01,497.049988,497.049988,481.48999,485.720001,485.720001,0
1992-09-01,488.230011,499.609985,486.459991,491.429993,491.429993,0
1992-10-01,489.660004,495.690002,473.940002,493.130005,493.130005,0
1992-11-01,498.079987,509.920013,491.700012,509.920013,509.920013,0
1992-12-01,509.420013,522.380005,508.440002,516.179993,516.179993,0
1993-01-01,516,521.869995,508.609985,520.48999,520.48999,0
1993-02-01,525.030029,533.890015,513.590027,527.590027,527.590027,0
1993-03-01,526.070007,543.72998,526.070007,538.719971,538.719971,0
1993-04-01,537.090027,537.090027,517.679993,525.700012,525.700012,0
1993-05-01,528.549988,543.539978,525.679993,539.76001,539.76001,0
1993-06-01,544.200012,544.409973,532.140015,541.340027,541.340027,0
1993-07-01,539.559998,541.700012,530.73999,539.159973,539.159973,0
1993-08-01,541.75,559.619995,539.650024,559.619995,559.619995,0
1993-09-01,559.200012,559.200012,547.700012,555.330017,555.330017,0
1993-10-01,558.23999,568.570007,555.969971,566.820007,566.820007,0
1993-11-01,568.48999,568.48999,554.820007,561.409973,561.409973,0
1993-12-01,561.580017,573.599976,561.580017,568.200012,568.200012,0
1994-01-01,567.099976,587.52002,567.099976,587.52002,587.52002,0
1994-02-01,585.27002,588.190002,567.909973,571.570007,571.570007,0
1994-03-01,568.330017,577.22998,546.359985,546.650024,546.650024,0
1994-04-01,538.369995,555.77002,538.369995,553.659973,553.659973,0
1994-05-01,556.440002,563.76001,543.200012,562.75,562.75,0
1994-06-01,564.190002,570.679993,546.849976,548.960022,548.960022,0
1994-07-01,551.469971,566.97998,551.469971,566.97998,566.97998,0
1994-08-01,570.539978,590.929993,566.070007,590.22998,590.22998,0
1994-09-01,587.450012,590.080017,571.530029,575.799988,575.799988,0
1994-10-01,574.820007,590.380005,563.280029,588.72998,588.72998,0
1994-11-01,583.97998,583.97998,562.22998,567.289978,567.289978,0
1994-12-01,561.429993,579.530029,557.330017,575.710022,575.710022,0
1995-01-01,575.52002,590.640015,575.52002,590.640015,590.640015,0
1995-02-01,590.650024,614.400024,590.650024,613.650024,613.650024,0
1995-03-01,611.640015,635.719971,607.47998,631.76001,631.76001,0
1995-04-01,633.330017,650.359985,633.330017,650.359985,650.359985,0
1995-05-01,649.950012,676.359985,649.950012,676.359985,676.359985,0
1995-06-01,676.530029,699.630005,669.799988,692.070007,692.070007,0
1995-07-01,695.080017,718.950012,695.080017,715.02002,715.02002,0
1995-08-01,711.950012,716.820007,707.140015,716.820007,716.820007,0
1995-09-01,719.340027,749.659973,719.340027,747.070007,747.070007,0
1995-10-01,743.650024,755.830017,738.109985,744.400024,744.400024,0
1995-11-01,748.01001,779.97998,748.01001,777.070007,777.070007,0
1995-12-01,779.150024,798.76001,778.690002,792.039978,792.039978,0
1996-01-01,798.219971,819,770.109985,819,819,0
1996-02-01,822.299988,852.469971,818.969971,826.590027,826.590027,0
1996-03-01,831.700012,846.659973,818.190002,834.549988,834.549988,0
1996-04-01,845.200012,848.210022,816.700012,846.849976,846.849976,0
1996-05-01,847.48999,880.460022,826.630005,868.690002,868.690002,0
1996-06-01,866.830017,881.090027,860.400024,872.01001,872.01001,0
